Finding,Evidence,Likely Cause,Recommended Actions
"1. International operations are mostly reliable, but not punctual",Average reliability ~96.3% while average punctuality ~54%. Several months remain near 95–100% reliability but punctuality falls to 40–60%.,"Flights are generally operating, but delays are occurring within the day-of-operation process. This points to operational inefficiency, turnaround issues, coordination gaps, or external process bottlenecks rather than outright service collapse.","Make punctuality a top KPI separate from reliability. Track root causes by station and by route. Set a 90-day punctuality recovery plan focused on departure readiness, turnaround discipline, and delay ownership."
2. Magh is the clearest operational trough month,"Magh shows the lowest flights (252) and lowest passengers (40,854) in the year.","Could reflect seasonal weakness, temporary fleet constraint, maintenance downtime, demand dip, or schedule reduction during that Nepali month.","Review Magh specifically for aircraft availability, route schedule changes, demand pattern, and disruption records. Treat Magh as a baseline stress month for planning."
"3. Strong recovery occurs after Magh, but commercial efficiency softens later","Flights rise sharply from Magh 252 to Falgun 335, Chaitra 357, Baisakh 353, Jestha 373. But seat factor peaks around Falgun/Chaitra (~85%) and then drops to about 74% in Jestha, despite highest flight count.",Capacity appears to have been added faster than demand in late-year months. Scheduling expansion may not have been matched by booking strength or pricing discipline.,Reassess schedule expansion in Baisakh–Jestha. Use route-by-route review before adding frequencies. Protect high-performing months/routes and avoid over-capacity.
"4. Commercial performance is decent on passenger seat use, but weaker on total payload use","Average seat factor ~80.5%, versus average load factor ~67.7%.","Passenger seat occupancy is reasonably healthy, but total revenue-generating payload performance is weaker. This can indicate underperformance in cargo, mix, or total weight utilization.","Separate passenger and cargo performance reviews. Add monthly KPI pack for seat factor, load factor, cargo tons, cargo revenue, pax/flight, freight/flight."
5. Bhadra stands out as one of the strongest efficiency months,"Bhadra has the highest passengers per flight (~183) and highest freight per flight (~1,805 kg/flight). Freight is also highest in absolute terms (500,026 kg).","Strong demand mix, better route composition, stronger cargo market, or tighter scheduling in that month.","Treat Bhadra as a best-case reference month. Compare route mix, pricing, cargo bookings, and aircraft assignment in Bhadra against weaker months like Kartik, Poush, and Magh."
6. Freight does not move in lockstep with passengers,"Passenger peak occurs around Baisakh/Jestha, while freight peaks much earlier in Bhadra. Freight is especially weak in Kartik.",Cargo has a different seasonal and route demand pattern than passenger demand. It should not be managed as a side effect of passenger scheduling alone.,Manage cargo as a distinct commercial stream. Build route/month cargo forecast separately from passenger forecast. Prioritize routes with strong belly-cargo contribution.
7. Delay profile is driven more by process/external/support factors than by engineering alone,"Delay breakdown shows IMM 33%, SUBS 30%, MKT/CUS 14%, while ENG 7% and KTM ATC 7% are smaller shares.",Delay drivers appear heavily concentrated in airport/process/support-chain causes rather than purely technical maintenance causes.,"Do not frame punctuality as only a maintenance problem. Create a cross-functional delay task force including station ops, ground handling, airport coordination, commercial/customer service, and engineering."
"8. Engineering is not dominant in delays, but still material",Engineering contributes 7% of delays.,"Technical issues are not the largest driver in this dataset, but still materially affect schedule performance and may worsen passenger confidence.","Keep engineering on the priority list, but allocate improvement effort proportionally. Focus on repeat defects, pre-departure readiness, spares support, and maintenance planning."
"9. There is likely a schedule-quality issue, not just a volume issue","Highest number of flights occurs in Jestha (373), but passengers are not highest there, and seat factor is lower.","More flying alone is not creating stronger revenue productivity. There may be weak frequency decisions, poor schedule timing, or over-serving lower-demand sectors.","Review route-level RASM vs CASM, flight timing, and frequency decisions. Use profitability and booking curves before increasing services."
10. Reliability drops sharply in Asar and should be investigated,"Reliability stays mostly high during the year, then falls to about 74% in Asar, much lower than prior months.","Possible end-of-year operational disruption, fleet issue, schedule instability, weather impact, or reporting anomaly.","Conduct a focused Asar post-mortem. Validate whether this is real, and if so, identify station/route/aircraft-specific causes."
12. The international business appears to be the core engine and should be managed with tighter month-by-month discipline,"Total annual international activity is significant: 3,768 flights, 629,147 passengers, 4.4M+ kg freight.","International sector is large enough that even modest improvements in punctuality, frequency discipline, and cargo capture could materially improve financial performance.","Establish a monthly international review pack by Nepali month with: flight count, passengers, freight, seat factor, load factor, punctuality, reliability, delay reasons, and route contribution."
