Month,Flights,Passengers,FreightKg,ASKM,RPKM,ATKM,RTKM,SeatFactor,LoadFactor,Punctuality,Reliability,ADU_ABT,ADU_ABU
Shrawan,102,969,220,304859,186611,25608,12824,0.61,0.5,0.78,0.72,2.9,1.8
Bhadra,101,1029,140,308905,198092,26605,15621,0.64,0.59,0.75,0.86,3.0,1.4
Asoj,129,1572,92,392519,300296,32972,21076,0.77,0.64,0.72,0.8,1.0,3.9
Kartik,166,2290,241,487460,436946,40947,30777,0.9,0.75,0.52,1.05,0.0,4.9
Mangsir,95,1070,261,282465,210368,23727,14883,0.74,0.63,0.61,0.89,2.3,2.4
Poush,181,2013,148,573677,420921,48189,29746,0.73,0.62,0.59,0.89,3.1,2.7
Magh,123,1244,128,395500,258047,33222,18140,0.65,0.55,0.71,0.88,3.1,2.7
Falgun,211,2316,706,626359,467444,52614,33636,0.75,0.64,0.6,0.91,3.2,3.6
Chaitra,107,1286,264,334470,258048,28095,18222,0.77,0.65,0.61,0.96,3.6,2.6
Baisakh,119,1438,989,315427,253783,26496,18128,0.8,0.68,0.8,0.9,2.7,0.0
Jestha,133,1590,434,365183,294733,30675,20937,0.81,0.68,0.8,0.91,3.1,1.4
Asar,41,397,108,115707,76836,9719,5413,0.66,0.56,0.92,0.54,2.3,0.4
